,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
1870,Manuel PamicM. Pamic,23,Chorwacja,Lewy obrońca,LOB,800 tys. €,Czechy,Sparta Praga,400 tys. €,Sprzedaż,Red Bull Salzburg,2009/2010
1871,Mejdi TraouiM. Traoui,26,Tunezja,Środkowy pomocnik,ŚPM,250 tys. €,Tunezja,Esperance,Bez odstępnego,Sprzedaż,Red Bull Salzburg,2009/2010
1872,Ronald GercaliuR. Gercaliu,23,Austria,Środkowy obrońca,ŚOB,800 tys. €,Austria,Wiener Neustadt,Bez odstępnego,Sprzedaż,Red Bull Salzburg,2009/2010
1873,László BodnárL. Bodnár,30,Węgry,Prawy obrońca,POB,"2,00 mln €",Węgry,Debrecen,Bez odstępnego,Sprzedaż,Red Bull Salzburg,2009/2010
1874,Sasa IlicSasa Ilic,32,Serbia,Środkowy pomocnik,ŚPM,800 tys. €,Serbia,Partizan,Bez odstępnego,Sprzedaż,Red Bull Salzburg,2009/2010
1875,Ernst ÖbsterE. Öbster,25,Austria,Ofensywny pomocnik,OPM,400 tys. €,Stany Zjednaczone,NY Red Bulls,Bez odstępnego,Sprzedaż,Red Bull Salzburg,2009/2010
1876,Patrik JezekP. Jezek,33,Czechy,Lewy pomocnik,LPM,"1,10 mln €",Austria,Admira Wacker,Bez odstępnego,Sprzedaż,Red Bull Salzburg,2009/2010
1877,Vladimir JanockoV. Janocko,32,Słowacja,Ofensywny pomocnik,OPM,400 tys. €,Austria,Admira Wacker,Bez odstępnego,Sprzedaż,Red Bull Salzburg,2009/2010
1878,Anis BoussaidiA. Boussaidi,28,Tunezja,Prawy obrońca,POB,750 tys. €,Austria,RB Juniors,?,Sprzedaż,Red Bull Salzburg,2009/2010
1879,René AufhauserR. Aufhauser,33,Austria,Środkowy obrońca,ŚOB,750 tys. €,Austria,LASK,?,Sprzedaż,Red Bull Salzburg,2009/2010
1880,Remo MeyerR. Meyer,28,Szwajcaria,Środkowy obrońca,ŚOB,650 tys. €,-,Bez klubu,-,Sprzedaż,Red Bull Salzburg,2009/2010
1881,Timo OchsTimo Ochs,27,Niemcy,Bramkarz,BRK,"1,35 mln €",-,Bez klubu,-,Sprzedaż,Red Bull Salzburg,2009/2010
1882,Niko KovacN. Kovac,37,Chorwacja,Defensywny pomocnik,DPM,700 tys. €,-,Koniec kariery,-,Sprzedaż,Red Bull Salzburg,2009/2010
1883,Hamdi SalihiH. Salihi,25,Albania,Środkowy napastnik,ŚNP,850 tys. €,Austria,SV Ried,600 tys. €,Kupno,SK Rapid Wiedeń,2009/2010
1884,Nikica JelavicN. Jelavic,23,Chorwacja,Środkowy napastnik,ŚNP,525 tys. €,Belgia,Zulte Waregem,200 tys. €,Kupno,SK Rapid Wiedeń,2009/2010
1885,Ragnvald SomaR. Soma,29,Norwegia,Środkowy obrońca,ŚOB,"1,00 mln €",Norwegia,Viking FK,200 tys. €,Kupno,SK Rapid Wiedeń,2009/2010
